epoch,error_rate,psnr,ssim,g_loss,g_loss_on_discriminator,g_loss_on_encoder,g_loss_on_decoder,d_cover_loss,d_encoded_loss,g_loss_on_perceptual,scheduler_encoder_decoder_lr,scheduler_discriminator_lr,duration
62,0.00003594,37.73110444,0.92279636,0.00221674,10.70745016,0.00068640,0.00003143,0.00002095,0.00002967,0.01453440,0.00065305,0.00065305,450
63,0.00001563,36.94342664,0.91390468,0.00231528,11.23625683,0.00084497,0.00001535,0.00001284,0.00001728,0.01932185,0.00064285,0.00064285,442
64,0.00001719,38.06087290,0.92485228,0.00214401,11.81759380,0.00064372,0.00001828,0.00000952,0.00001211,0.01357037,0.00063258,0.00063258,449
65,0.00002812,37.32021740,0.91471948,0.00244197,12.44177734,0.00076620,0.00002578,0.00000388,0.00000530,0.01737965,0.00062225,0.00062225,449
66,0.00002187,37.26896233,0.91340836,0.00221984,10.51356128,0.00076462,0.00002347,0.00302887,0.00089438,0.01691791,0.00061187,0.00061187,443
67,0.00002500,37.67431998,0.91748991,0.00216388,10.38534002,0.00069728,0.00002758,0.00004664,0.00007294,0.01522435,0.00060144,0.00060144,448
68,0.00001875,37.87589656,0.92087554,0.00209803,10.80432841,0.00066783,0.00001998,0.00002192,0.00003851,0.01500047,0.00059096,0.00059096,447
69,0.00002500,37.80442647,0.92026310,0.00219144,10.84814400,0.00067919,0.00002774,0.00004858,0.00005822,0.01499937,0.00058044,0.00058044,449
70,0.00001406,37.48242669,0.91697123,0.00217973,11.08862336,0.00074630,0.00001408,0.00001114,0.00002212,0.01837606,0.00056989,0.00056989,441
71,0.00001563,37.62770823,0.91729152,0.00216270,11.27925780,0.00070906,0.00001850,0.00001068,0.00001811,0.01406641,0.00055930,0.00055930,447
72,0.00002187,37.72006484,0.91787580,0.00217921,11.30644397,0.00070319,0.00002047,0.00001065,0.00001680,0.01406490,0.00054869,0.00054869,449
73,0.00001250,37.53713149,0.91633639,0.00218903,11.72545762,0.00072437,0.00001426,0.00000725,0.00001101,0.01495289,0.00053805,0.00053805,447
74,0.00001406,37.46802555,0.91397323,0.00224490,12.00574476,0.00073605,0.00001527,0.00000573,0.00000844,0.01555240,0.00052740,0.00052740,441
75,0.00002500,37.70642955,0.91671720,0.00235354,12.57571729,0.00070615,0.00002387,0.00000341,0.00000500,0.01511397,0.00051673,0.00051673,447
76,0.00001563,38.06427210,0.92165321,0.00194473,10.20020642,0.00063463,0.00001620,0.00118434,0.00180019,0.01281259,0.00050606,0.00050606,449
77,0.00001563,38.25505350,0.92509128,0.00193451,10.62155035,0.00060366,0.00001513,0.00002178,0.00003739,0.01173937,0.00049539,0.00049539,445
78,0.00001875,38.00966303,0.92102544,0.00181348,8.78081751,0.00065066,0.00001599,0.00409111,0.00268012,0.01247950,0.00048471,0.00048471,447
79,0.00002031,38.44063578,0.92623613,0.00183451,9.37575473,0.00058039,0.00002061,0.00013726,0.00014025,0.01104117,0.00047405,0.00047405,449
80,0.00001250,37.81126972,0.91756418,0.00189742,9.67354909,0.00068163,0.00001097,0.00008261,0.00010007,0.01386956,0.00046340,0.00046340,447
81,0.00001719,37.88920240,0.91958477,0.00196263,9.98499368,0.00066628,0.00001432,0.00003544,0.00006284,0.01546762,0.00045276,0.00045276,440
82,0.00001406,38.25312237,0.92297035,0.00191672,10.31893639,0.00060899,0.00001544,0.00003437,0.00004682,0.01214017,0.00044215,0.00044215,447
83,0.00002812,38.24777747,0.92353436,0.00201753,10.63061334,0.00060634,0.00002305,0.00002333,0.00003131,0.01176120,0.00043156,0.00043156,450
84,0.00001250,38.19985463,0.92185145,0.00199277,10.88153319,0.00060959,0.00001612,0.00002326,0.00002749,0.01338723,0.00042100,0.00042100,449
85,0.00001563,38.24690548,0.92246894,0.00206172,11.50173482,0.00061113,0.00001681,0.00000997,0.00001439,0.01323138,0.00041048,0.00041048,439
86,0.00001719,38.19308427,0.92213428,0.00211313,11.73428413,0.00063783,0.00001720,0.00629857,0.00103294,0.01298968,0.00040001,0.00040001,449
87,0.00002344,38.21232686,0.92423539,0.00190187,9.31917345,0.00061777,0.00002135,0.00019987,0.00019730,0.01386611,0.00038957,0.00038957,447
88,0.00001719,38.17487959,0.92423291,0.00190081,9.81173859,0.00061969,0.00001756,0.00007690,0.00010172,0.01243037,0.00037919,0.00037919,446
89,0.00001875,38.39921065,0.92696089,0.00184692,9.71444571,0.00058351,0.00001778,0.00016189,0.00022097,0.01141619,0.00036887,0.00036887,447
90,0.00001406,38.27226868,0.92321097,0.00189418,10.22796378,0.00060033,0.00001540,0.00003059,0.00005126,0.01170831,0.00035860,0.00035860,449
91,0.00001875,38.46399625,0.92600313,0.00191319,10.65673316,0.00057688,0.00001575,0.00001679,0.00003257,0.01131272,0.00034840,0.00034840,450
92,0.00001250,38.65842738,0.92833451,0.00191076,11.03495452,0.00055355,0.00001470,0.00001057,0.00002236,0.01067398,0.00033827,0.00033827,440
93,0.00001250,38.28448895,0.92415564,0.00193972,10.96006287,0.00060379,0.00001245,0.00059907,0.00030857,0.01154428,0.00032821,0.00032821,449
94,0.00002187,38.50479293,0.92696738,0.00193557,10.43295703,0.00057403,0.00002079,0.00002314,0.00004238,0.01103701,0.00031823,0.00031823,447
95,0.00001719,38.71984464,0.92906077,0.00186365,10.95733936,0.00054069,0.00001317,0.00001009,0.00002334,0.00955204,0.00030834,0.00030834,448
96,0.00001406,38.21674867,0.92307819,0.00196577,11.12411535,0.00060947,0.00001366,0.00000854,0.00001948,0.01073382,0.00029853,0.00029853,441
97,0.00001094,38.14622251,0.92220155,0.00196937,11.34106376,0.00061953,0.00001013,0.00000690,0.00001539,0.01144531,0.00028882,0.00028882,447
98,0.00001563,38.31133737,0.92262900,0.00202085,11.68641144,0.00059960,0.00001442,0.00000571,0.00001065,0.01084149,0.00027920,0.00027920,451
99,0.00002187,38.25395583,0.92274320,0.00208580,11.96307881,0.00060117,0.00001766,0.00000514,0.00000773,0.01117114,0.00026968,0.00026968,444
100,0.00001406,38.38191393,0.92509713,0.00207356,12.32988403,0.00059237,0.00001414,0.00000385,0.00000537,0.01067517,0.00026027,0.00026027,448
101,0.00001719,38.53309956,0.92701944,0.00209133,12.75606087,0.00056536,0.00001484,0.00000286,0.00000347,0.01019463,0.00025097,0.00025097,449
102,0.00001094,38.23745638,0.92408399,0.00213504,13.24330432,0.00060398,0.00000939,0.00000158,0.00000213,0.01128735,0.00024178,0.00024178,450
103,0.00001250,38.67259920,0.92875735,0.00213151,13.80577006,0.00054906,0.00001020,0.00000095,0.00000121,0.00998704,0.00023271,0.00023271,440
104,0.00002344,38.82955964,0.93001535,0.00226267,14.26676657,0.00052684,0.00002137,0.00000066,0.00000078,0.00954359,0.00022377,0.00022377,448
105,0.00001563,38.74403163,0.92916825,0.00226871,14.96442968,0.00053744,0.00001323,0.00000030,0.00000040,0.01025546,0.00021495,0.00021495,450
106,0.00001719,38.39530782,0.92566729,0.00238492,15.57268564,0.00058279,0.00001362,0.00000018,0.00000022,0.01086557,0.00020626,0.00020626,448
107,0.00001719,38.79172578,0.92940582,0.00240516,16.22017408,0.00053124,0.00001560,0.00000009,0.00000011,0.00959466,0.00019770,0.00019770,441
108,0.00001250,38.73317939,0.92800214,0.00241435,16.44506503,0.00054502,0.00001204,0.00000013,0.00000011,0.01044371,0.00018929,0.00018929,450
109,0.00001094,38.71921113,0.92758873,0.00243502,16.66153163,0.00054073,0.00001266,0.00000009,0.00000008,0.01014903,0.00018101,0.00018101,449
110,0.00000937,38.41244174,0.92466650,0.00253002,17.45182333,0.00058206,0.00000948,0.00000003,0.00000003,0.01079683,0.00017288,0.00017288,447
111,0.00001250,38.88932965,0.92978748,0.00255841,18.21877971,0.00052073,0.00001154,0.00000001,0.00000000,0.01003777,0.00016490,0.00016490,445
112,0.00001250,38.55624334,0.92560819,0.00263952,18.67614622,0.00056044,0.00001090,0.00000001,0.00000000,0.01024639,0.00015708,0.00015708,451
113,0.00001406,39.17018728,0.93252682,0.00261039,19.10218091,0.00048534,0.00001266,0.00000001,0.00000001,0.00882654,0.00014941,0.00014941,447
114,0.00001094,38.89216730,0.92830871,0.00256996,18.33426795,0.00051948,0.00001198,0.00000034,0.00000012,0.00972722,0.00014190,0.00014190,441
115,0.00002031,38.97425930,0.92756857,0.00257725,17.87461699,0.00050964,0.00001853,0.00000002,0.00000001,0.00948104,0.00013456,0.00013456,450
